user_id,train_accu,train_f1,train_precision,train_recall,train_mae,train_mape,test_accu,test_f1,test_precision,test_recall,test_mae,test_mape
1.0,0.8208955223880597,0.2222222222222222,1.0,0.125,0.5946923821077128,0.14240161562447332,0.8220338983050848,0.0,0.0,0.0,0.9974505370583708,0.20160604764079787
2.0,0.8419811320754716,0.17283950617283952,1.0,0.0945945945945946,0.5897413203721494,0.12742320024286463,0.7722772277227723,0.0,0.0,0.0,1.143336598406167,0.24082711873750298
33.0,0.8215962441314554,0.2830188679245283,1.0,0.16483516483516483,0.7404523149514031,0.18009299132066067,0.8073394495412844,0.0,0.0,0.0,1.5636563077539825,0.3832471905641945
35.0,0.8252631578947368,0.08791208791208792,1.0,0.04597701149425287,0.6767257186741505,0.18334249130050945,0.8545454545454545,0.0,0.0,0.0,1.1380173810875223,0.32936772470895653
5.0,0.8503401360544217,0.2826086956521739,1.0,0.16455696202531644,0.6544848401483068,0.2847618732256748,0.8412698412698413,0.0,0.0,0.0,0.9193800852861339,0.3869562243146198
6.0,0.836272040302267,0.0,0.0,0.0,0.6887985601091102,0.15438524356660174,0.7978723404255319,0.0,0.0,0.0,1.6198742613199635,0.37050852499459946
14.0,0.7963917525773195,0.048192771084337345,1.0,0.024691358024691357,0.7065608184595885,0.13118834167390447,0.8316831683168316,0.0,0.0,0.0,1.6486807294896593,0.3350807945089934
15.0,0.8227571115973742,0.16494845360824742,1.0,0.0898876404494382,0.7021826281691975,0.17754960037820053,0.8532110091743119,0.0,0.0,0.0,1.2495696047333194,0.3404501623161129
18.0,0.843298969072165,0.20833333333333334,1.0,0.11627906976744186,0.6632418971700338,0.16395979037828606,0.7857142857142857,0.0,0.0,0.0,1.3012373045398713,0.3106358638984567
21.0,0.8188976377952756,0.14814814814814814,1.0,0.08,0.7590120131962763,0.16250674330808662,0.8365384615384616,0.0,0.0,0.0,1.5293258469275228,0.3239866104158786
34.0,0.7828810020876826,0.13333333333333333,1.0,0.07142857142857142,0.4641458462774308,0.10217769611647698,0.7844827586206896,0.0,0.0,0.0,0.5032064909268406,0.10802923756406865
40.0,0.8430851063829787,0.0,0.0,0.0,0.7274871567823402,0.15561476120256013,0.8172043010752689,0.0,0.0,0.0,1.5648395142436367,0.33199643269899604
8.0,0.8374485596707819,0.11235955056179775,1.0,0.05952380952380952,0.6289308649292333,0.14163571347485623,0.8191489361702128,0.0,0.0,0.0,1.024636058233954,0.22860565490032866
13.0,0.8,0.0851063829787234,1.0,0.044444444444444446,0.37784615575482927,0.061193563767130074,0.7637795275590551,0.0,0.0,0.0,0.6578018936625859,0.10131630453500416
17.0,0.8565121412803532,0.05797101449275362,1.0,0.029850746268656716,0.6798892336140377,0.2179424113602004,0.8625954198473282,0.0,0.0,0.0,1.3264273117267646,0.3892345283076874
22.0,0.8320209973753281,0.17948717948717946,1.0,0.09859154929577464,0.7069574228944602,0.15628097026362692,0.8275862068965517,0.0,0.0,0.0,1.5951434219229486,0.37198374864454187
23.0,0.8112745098039216,0.04938271604938272,1.0,0.02531645569620253,0.7149601812106003,0.1482571684803735,0.8295454545454546,0.0,0.0,0.0,1.6126651833980077,0.30133689345969206
30.0,0.838479809976247,0.1282051282051282,1.0,0.0684931506849315,0.6755634071780086,0.14369706693792228,0.832,0.0,0.0,0.0,1.340810251326322,0.29258585514434626
31.0,0.8490990990990991,0.0821917808219178,1.0,0.04285714285714286,0.6097049295626238,0.1048311165531815,0.711864406779661,0.0,0.0,0.0,1.2061829181281871,0.2171581283101727
7.0,0.8103092783505155,0.23333333333333334,1.0,0.1320754716981132,0.6511898526115583,0.19941054959982635,0.7837837837837838,0.0,0.0,0.0,0.9792836156987479,0.2629333346275102
