user_id,train_accu,train_f1,train_precision,train_recall,train_mae,train_mape,test_accu,test_f1,test_precision,test_recall,test_mae,test_mape
1.0,0.9957356076759062,0.9896907216494846,0.9795918367346939,1.0,0.6407735401636697,0.1499011210063948,0.9915254237288136,0.975609756097561,1.0,0.9523809523809523,1.011178264138301,0.2060066331003945
2.0,0.9976415094339622,0.9932885906040269,0.9866666666666667,1.0,0.6880005154576168,0.14059114883474863,0.9801980198019802,0.9583333333333334,0.92,1.0,1.092388766039767,0.21974737616756151
33.0,0.9929577464788732,0.9836065573770493,0.9782608695652174,0.989010989010989,0.8737634790904988,0.20682556436809063,0.981651376146789,0.9523809523809523,0.9090909090909091,1.0,1.5664140668180009,0.3723948106685813
35.0,0.9789473684210527,0.9425287356321839,0.9425287356321839,0.9425287356321839,0.7540386242098988,0.19622808058374636,0.9545454545454546,0.8484848484848485,0.8235294117647058,0.875,1.1507539654320784,0.3340131433719434
5.0,0.9591836734693877,0.8875,0.8765432098765432,0.8987341772151899,0.7100416829642755,0.30547089926467685,0.9365079365079365,0.8095238095238095,0.7727272727272727,0.85,0.9055457764665187,0.38603793917386986
6.0,0.982367758186398,0.9457364341085271,0.953125,0.9384615384615385,0.8406507125202429,0.17902335307158607,0.9361702127659575,0.8421052631578947,0.8421052631578947,0.8421052631578947,1.5811097682195856,0.3681477301275868
14.0,0.9536082474226805,0.8875,0.8987341772151899,0.8765432098765432,0.8188471372551793,0.15002407919968386,0.900990099009901,0.7222222222222222,0.6842105263157895,0.7647058823529411,1.7854499839599534,0.33265401230286656
15.0,0.9431072210065645,0.8470588235294118,0.8888888888888888,0.8089887640449438,0.8930820074480456,0.21960677782864316,0.8990825688073395,0.6666666666666667,0.6470588235294118,0.6875,1.2777679972865694,0.33463111963109504
18.0,0.9855670103092784,0.9595375722543352,0.9540229885057471,0.9651162790697675,0.7347923731822973,0.1820563328056876,0.9897959183673469,0.975609756097561,1.0,0.9523809523809523,1.241070206022069,0.29670777952250205
21.0,0.9816272965879265,0.9523809523809524,0.9722222222222222,0.9333333333333333,0.8384026814150182,0.18163286295780248,0.9807692307692307,0.9444444444444444,0.8947368421052632,1.0,1.552476733333522,0.3201875752009621
34.0,0.9561586638830898,0.8995215311004785,0.9690721649484536,0.8392857142857143,0.4656857710067881,0.10208918323212955,0.9396551724137931,0.8372093023255813,1.0,0.72,0.5343727320376573,0.11463084280653216
40.0,0.9574468085106383,0.864406779661017,0.864406779661017,0.864406779661017,0.8215809962961657,0.1684845648849567,0.8817204301075269,0.5925925925925927,0.8,0.47058823529411764,1.4866598349483102,0.28662601470951843
8.0,0.9691358024691358,0.9112426035502958,0.9058823529411765,0.9166666666666666,0.6733451750929693,0.15016638954068157,0.925531914893617,0.7999999999999999,0.7777777777777778,0.8235294117647058,1.0258181999240301,0.22553120405478944
13.0,0.9883720930232558,0.9720670391061451,0.9775280898876404,0.9666666666666667,0.42671388758788753,0.06821342900911606,0.984251968503937,0.9655172413793104,1.0,0.9333333333333333,0.6735302686075821,0.10390163114074755
17.0,0.977924944812362,0.923076923076923,0.9523809523809523,0.8955223880597015,0.7907505549719338,0.24023611943694004,0.9847328244274809,0.9411764705882353,1.0,0.8888888888888888,1.3756682597488905,0.3873365832119937
