group,train_accu,train_f1,train_precision,train_recall,train_mae,train_mape,test_accu,test_f1,test_precision,test_recall,test_mae,test_mape
none,0.811650932535114,0.012077294685990338,1.0,0.006075334143377886,0.9488091422249937,0.23574713673132094,0.822429906542056,0.0,0.0,0.0,1.499947495142373,0.40292176020084436
static,0.8189788550799381,0.008474576271186442,1.0,0.00425531914893617,0.8736685481841133,0.19011101244851863,0.8038815117466803,0.0,0.0,0.0,1.4118864998393537,0.3183216404815575
random,0.8120942944994876,0.01079136690647482,1.0,0.0054249547920434,0.8997895060195764,0.2210874965909355,0.8104138851802403,0.0,0.0,0.0,1.6239158534509457,0.41407530201758685
rule,0.8207650273224044,0.021479713603818614,1.0,0.010856453558504222,0.8264434070150471,0.20812965013091486,0.8058510638297872,0.0,0.0,0.0,1.4790521470326439,0.4088859506550949
