group,train_accu,train_f1,train_precision,train_recall,train_mae,train_mape,test_accu,test_f1,test_precision,test_recall,test_mae,test_mape
none,0.8104996546166244,0.0,0.0,0.0,1.4167446748237709,0.35178835903987327,0.822429906542056,0.0,0.0,0.0,1.4221182330824282,0.3814690331836678
static,0.8182052604435276,0.0,0.0,0.0,1.3541034231852933,0.29761998934741,0.8038815117466803,0.0,0.0,0.0,1.396878506181718,0.3131400080912823
random,0.8110693542876666,0.0,0.0,0.0,1.4737267609992233,0.35001943146857845,0.8104138851802403,0.0,0.0,0.0,1.5507748202038814,0.38972448387875946
rule,0.8187978142076503,0.0,0.0,0.0,1.2114582949409227,0.29725841348943965,0.8058510638297872,0.0,0.0,0.0,1.4169274131191343,0.3951128780503259
