group,train_accu,train_f1,train_precision,train_recall,train_mae,train_mape,test_accu,test_f1,test_precision,test_recall,test_mae,test_mape
none,0.9702970297029703,0.9217707701637355,0.9200968523002422,0.9234507897934386,1.183485364068495,0.2930050522314953,0.9598130841121495,0.8916876574307304,0.855072463768116,0.9315789473684211,1.4478560498374033,0.3832087146276358
static,0.9685404847859721,0.9151599443671766,0.897680763983629,0.9333333333333333,1.1065439062733047,0.2411438838478574,0.9713993871297242,0.9267015706806283,0.9315789473684211,0.921875,1.4373270121915263,0.31777341141225224
random,0.9545609839426034,0.8789808917197452,0.8846153846153846,0.8734177215189873,1.1426876111664872,0.2713522174782568,0.9479305740987984,0.8602150537634409,0.8759124087591241,0.8450704225352113,1.5740035415606795,0.40029867597794583
rule,0.9724590163934427,0.9243697478991597,0.9199522102747909,0.9288299155609168,0.998604268629925,0.24531099746487026,0.9609929078014184,0.9030837004405287,0.8723404255319149,0.9360730593607306,1.4486984969373788,0.3995060655322959
