group,train_accu,train_f1,train_precision,train_recall,train_mae,train_mape,test_accu,test_f1,test_precision,test_recall,test_mae,test_mape
none,0.9702970297029703,0.9217707701637355,0.9200968523002422,0.9234507897934386,1.183485364068494,0.29300505223149514,0.9598130841121495,0.8916876574307304,0.855072463768116,0.9315789473684211,1.4478560498374051,0.383208714627636
static,0.9685404847859721,0.9151599443671766,0.897680763983629,0.9333333333333333,1.1065439062733047,0.24114388384785734,0.9713993871297242,0.9267015706806283,0.9315789473684211,0.921875,1.4373270121915256,0.3177734114122523
random,0.9545609839426034,0.8789808917197452,0.8846153846153846,0.8734177215189873,1.1635383919559843,0.275722482129987,0.9479305740987984,0.8602150537634409,0.8759124087591241,0.8450704225352113,1.552718840586114,0.3935903080265633
rule,0.9724590163934427,0.9243697478991597,0.9199522102747909,0.9288299155609168,1.0104325750125407,0.24793643761868334,0.9609929078014184,0.9030837004405287,0.8723404255319149,0.9360730593607306,1.4426051251710916,0.39789966938442883
