user_id,group,day,session,question_id,num_1,num_2,num_3,feedback,answer,accuracy,resptime,focus,focustime,anxiety,anxietytime,est_answer,est_answer_proba,est_resptime
17.0,static,d2,formal,107.0,92.0,23.0,4.0,1.0,0,1.0,2.799434,6.0,2.7883189,2.0,1.278754,0,0.9923288,3.9252230619349553
17.0,static,d2,formal,120.0,84.0,46.0,5.0,1.0,0,1.0,3.8804317,6.0,2.7883189,2.0,1.278754,0,0.98928462,5.746198877880273
31.0,static,d2,formal,266.0,92.0,55.0,9.0,1.0,0,1.0,7.793826,5.0,4.078348,2.0,2.786164,0,0.97754997,6.693852409853912
31.0,static,d2,formal,41.0,51.0,34.0,7.0,1.0,0,1.0,8.651649,5.0,9.334471,2.0,4.385826,0,0.98443634,4.906102187579247
17.0,static,d1,formal,264.0,52.0,34.0,8.0,1.0,0,1.0,7.4316397,6.0,2.408966,2.0,1.048559,0,0.98175168,6.663541632840785
31.0,static,d1,formal,51.0,24.0,14.0,8.0,1.0,0,1.0,3.4957588,6.0,8.373002,3.0,9.634635,0,0.98403446,3.4416749804638274
40.0,static,d1,formal,35.0,53.0,27.0,3.0,1.0,0,1.0,7.6634874,7.0,2.7973912,1.0,2.6773298,0,0.97502922,5.909667018821306
13.0,static,d2,formal,181.0,27.0,17.0,6.0,1.0,0,1.0,5.526059,6.0,16.523218,5.0,1.470676,0,0.9771577,3.5575060622320755
22.0,static,d1,formal,143.0,69.0,17.0,5.0,1.0,0,1.0,9.951469,5.0,2.6548738,4.0,1.5295131,0,0.97743565,5.064712361254685
8.0,static,d2,formal,68.0,94.0,65.0,6.0,1.0,0,1.0,4.31848,6.0,1.616766,6.0,1.243243,0,0.99267748,6.280609757734636
22.0,static,d2,formal,290.0,92.0,53.0,6.0,1.0,0,1.0,6.43758,5.0,2.368881,2.0,2.265932,0,0.97812682,6.7643842382745145
8.0,static,d2,formal,30.0,56.0,37.0,6.0,1.0,0,1.0,7.1823053,6.0,3.0466642,5.0,3.2447376,0,0.99307483,7.9873196877413495
22.0,static,d1,formal,158.0,59.0,18.0,7.0,1.0,0,1.0,5.1375637,5.0,3.864239,5.0,1.6399422,0,0.97859126,4.777507439180425
40.0,static,d1,formal,170.0,32.0,23.0,5.0,1.0,0,1.0,8.172561,5.0,2.892467,3.0,1.2641199,0,0.97946586,4.98757904519617
34.0,static,d1,formal,284.0,41.0,37.0,4.0,1.0,1,1.0,4.629159,1.0,4.1312456,4.0,1.5909641,1,0.10646632,4.485517011578231
34.0,static,d1,formal,76.0,35.0,12.0,4.0,1.0,0,1.0,4.5262117,6.0,3.997469,7.0,2.0629041,0,0.98545157,4.705845439181436
13.0,static,d1,formal,171.0,41.0,39.0,3.0,1.0,0,1.0,7.762407,7.0,8.2607765,7.0,100.96747,0,0.97854962,5.717969989003198
8.0,static,d1,formal,204.0,99.0,26.0,5.0,1.0,0,1.0,4.3018904,5.0,2.501878,6.0,1.773741,0,0.9803371,4.347191010018172
8.0,static,d2,formal,69.0,24.0,12.0,7.0,1.0,0,1.0,3.418413,6.0,1.616766,6.0,1.243243,0,0.97762979,3.799769265283694
40.0,static,d2,formal,22.0,47.0,27.0,9.0,1.0,0,1.0,3.3430982,7.0,3.787135,1.0,4.021516,0,0.9885739,4.202588107162864
31.0,static,d2,formal,53.0,82.0,17.0,4.0,1.0,0,1.0,6.267934,5.0,9.334471,2.0,4.385826,0,0.97502513,5.552145395909093
17.0,static,d1,formal,194.0,43.0,21.0,8.0,1.0,0,1.0,2.7856119,6.0,1.5901189,2.0,1.11884,0,0.98019626,4.444083509464081
40.0,static,d2,formal,59.0,51.0,36.0,4.0,1.0,0,1.0,5.464217,7.0,2.4894872,1.0,1.4689431,0,0.98119191,5.352818659204423
22.0,static,d2,formal,217.0,38.0,15.0,5.0,1.0,0,1.0,3.781531,5.0,3.747946,2.0,1.8455429,0,0.99028627,4.64122813776045
22.0,static,d2,formal,84.0,53.0,43.0,7.0,1.0,0,1.0,2.6975508,6.0,3.6088448,3.0,2.5882459,0,0.97860366,3.3998331376245496
13.0,static,d1,formal,155.0,66.0,19.0,4.0,1.0,0,1.0,5.838382,7.0,8.2607765,7.0,100.96747,0,0.9793545,5.270049199704287
31.0,static,d2,formal,121.0,49.0,22.0,9.0,1.0,1,1.0,5.40471,6.0,5.552178,3.0,3.313901,1,0.10633316,6.266435937339697
17.0,static,d1,formal,284.0,66.0,32.0,9.0,1.0,0,1.0,5.348402,6.0,1.742044,2.0,1.0892911,0,0.97503854,4.810439199741236
13.0,static,d2,formal,101.0,72.0,55.0,9.0,1.0,0,1.0,6.288117,7.0,2.5259311,5.0,8.296682,0,0.97579553,7.040133263419534
8.0,static,d1,formal,99.0,79.0,44.0,4.0,1.0,0,1.0,4.356206,7.0,1.89552,7.0,1.322753,0,0.98406017,5.923497608850859
8.0,static,d1,formal,163.0,24.0,13.0,6.0,1.0,0,1.0,4.426062,5.0,3.1828043,6.0,1.438601,0,0.99216109,4.970314006971056
31.0,static,d1,formal,202.0,78.0,69.0,8.0,1.0,0,1.0,8.741411,4.0,5.5037937,3.0,1.927613,0,0.97944961,4.790810384636563
13.0,static,d2,formal,108.0,59.0,34.0,3.0,1.0,0,1.0,6.247444,7.0,2.5259311,5.0,8.296682,0,0.96473649,5.347107517752084
17.0,static,d1,formal,275.0,99.0,52.0,9.0,1.0,0,1.0,5.08012,6.0,1.742044,2.0,1.0892911,0,0.98452926,4.7208945689966955
22.0,static,d2,formal,231.0,82.0,54.0,9.0,1.0,0,1.0,6.236377,5.0,3.747946,2.0,1.8455429,0,0.97501726,6.7709841232380334
17.0,static,d1,formal,48.0,78.0,29.0,5.0,1.0,0,1.0,4.585204,6.0,2.743966,2.0,1.2030258,0,0.99412224,5.446859741600031
13.0,static,d2,formal,269.0,99.0,62.0,9.0,1.0,1,0.0,7.861027,6.0,3.123575,6.0,10.351781,0,0.97257807,5.632842914397447
13.0,static,d1,formal,55.0,53.0,45.0,7.0,1.0,0,1.0,7.130063,6.0,4.293976,7.0,21.944544,0,0.99203464,5.54369590413533
23.0,static,d1,formal,118.0,36.0,26.0,5.0,1.0,1,1.0,2.6577418,6.0,1.6882262,5.0,1.4487529,1,0.08725918,4.526232470371545
8.0,static,d2,formal,192.0,75.0,63.0,9.0,1.0,0,1.0,4.579803,6.0,1.644074,5.0,1.0978181,0,0.97640612,5.292273734474099
34.0,static,d1,formal,208.0,93.0,89.0,8.0,1.0,0,1.0,9.921746,3.0,2.2173479,6.0,2.258587,0,0.97501611,5.432195715906772
34.0,static,d1,formal,150.0,89.0,62.0,7.0,1.0,0,1.0,4.701456,4.0,2.5986493,5.0,2.370734,0,0.97919286,5.417278900470906
40.0,static,d1,formal,191.0,22.0,11.0,8.0,1.0,0,1.0,1.8817389,5.0,2.280384,4.0,2.5025501,0,0.97525067,3.622571800398731
40.0,static,d1,formal,47.0,79.0,29.0,7.0,1.0,0,1.0,3.13444,7.0,2.7973912,1.0,2.6773298,0,0.97605512,4.473574714612026
34.0,static,d1,formal,286.0,38.0,16.0,3.0,1.0,0,1.0,5.485313,1.0,4.1312456,4.0,1.5909641,0,0.97614386,4.62795572915663
8.0,static,d1,formal,184.0,46.0,32.0,6.0,1.0,0,1.0,6.5198145,5.0,2.501878,6.0,1.773741,0,0.97891154,5.0161570431047515
13.0,static,d2,formal,189.0,29.0,13.0,9.0,1.0,0,1.0,6.1711297,6.0,16.523218,5.0,1.470676,0,0.97503444,6.377528034063991
23.0,static,d2,formal,191.0,32.0,28.0,5.0,1.0,0,1.0,5.31285,4.0,5.248309,5.0,2.5387032,0,0.98481638,5.0777286955081555
22.0,static,d1,formal,192.0,88.0,75.0,5.0,1.0,0,1.0,4.562901,5.0,3.620922,4.0,2.137499,0,0.97994963,4.992942539128784
8.0,static,d1,formal,229.0,45.0,26.0,5.0,1.0,0,1.0,4.173293,5.0,2.241943,7.0,1.1876299,0,0.9890126,5.184236860662943
34.0,static,d1,formal,142.0,91.0,86.0,7.0,1.0,0,1.0,4.6343803,4.0,2.5986493,5.0,2.370734,0,0.97827038,3.776781490928576
23.0,static,d1,formal,82.0,99.0,48.0,8.0,1.0,0,1.0,7.336649,5.0,6.618187,5.0,3.9026928,0,0.98795234,5.87384736369976
17.0,static,d1,formal,127.0,46.0,25.0,9.0,1.0,0,1.0,1.8608961,6.0,2.1924589,2.0,1.2295492,0,0.97613295,4.666334677614454
40.0,static,d1,formal,235.0,29.0,14.0,8.0,1.0,0,1.0,9.500109,5.0,2.616129,4.0,1.5421371,0,0.97555119,5.880461331635381
8.0,static,d2,formal,297.0,33.0,14.0,7.0,1.0,0,1.0,3.074258,6.0,2.278074,5.0,1.8596232,0,0.97711144,6.777779532585331
31.0,static,d1,formal,150.0,64.0,47.0,5.0,1.0,0,1.0,6.516535,6.0,4.060691,2.0,5.393551,0,0.98141119,4.76353400088742
13.0,static,d2,formal,239.0,37.0,29.0,4.0,1.0,1,1.0,6.164424,7.0,2.775587,5.0,5.46313,1,0.08718234,5.222470028710294
23.0,static,d2,formal,111.0,75.0,33.0,7.0,1.0,1,1.0,8.963046,4.0,1.9592671,4.0,2.021271,1,0.10354419,6.618170952028315
